Name,Race,Property,Size,Item1,Item2,Item3,Item4,Item5,Item6,Item7,Item8,Map1,Map2,Map3,Map4,Map5
Harpy,Brute,Fire,Medium,Turtle Shell,Broken Shell,Fire Scroll 2-5,Royal Jelly,Brigan,Burn Tree,Monster Card,,tur_dun03,tur_dun04,,,
Heater,Demon,Wind,Medium,Harpy Feather,Harpy Talon,Yellow Herb,Yellow Herb,Izidor,Electric Fist,Monster Card,,cmd_fild06,yuno_fild03,,,
Heirozoist,Demon,Shadow,Small,Puppet,Rough Elunium,Monster Card,Angry Snarl,Needle Packet,Broken Needle,Spool,Ectoplasm,niflheim,nif_fild01,nif_fild02,,
High Orc,Demi-Human,Fire,Large,Ogre Tooth,Orcish Axe,Steel,Orcish Voucher,Zargon,Rough Oridecon,Yellow Herb,Monster Card,alde_dun02,gef_fild14,,,
Hill Wind,Brute,Wind,Medium,Blue Herb,Monster’s Feed,Monster Card,Harpy Feather,Harpy Talon,,,,lhz_fild03,,,,
Hode,Brute,Earth,Medium,Green Live,Earthworm Peeling,Rough Elunium,Sticky Mucus,Town Sword [2],Foolishness of the Blind,Fatty Chubby Earthworm,Monster Card,cmd_fild09,moc_fild14,moc_fild16,moc_fild17,moc_fild18
Holden,Brute,Earth,Small,Mole Whiskers,Mole Claw,Super Novice Hat [1],Monster Card,,,,,ein_fild03,ein_fild04,,,
Horn,Insect,Earth,Medium,Green Live,Emveretarcon,Horn,Guisarme [3],Shell,Solid Shell,Monster Card,,gef_fild02,gef_fild10,mjolnir_06,mjolnir_07,mjolnir_08
Hornet,Insect,Wind,Small,Wind Of Verdure,Bee Sting,Jellopy,Main Gauche [4],Green Herb,Honey,Monster Card,,gef_fild01,gef_fild09,mjolnir_01,mjolnir_05,mjolnir_07
Horong,Formless,Fire,Small,Stone Heart,Zargon,Bomb Wick,Fire Arrow,Rough Elunium,Baked Yam,Alcohol,Monster Card,pay_dun04,pay_fild10,,,
Howard Alt-Eisen,Demi-Human,Water,Medium,Old Blue Box,Vecer Axe [2],Two-Handed Axe [2],Buckler [1],Lord’s Clothes [1],Pauldron [1],Handcuffs,Monster Card,lhz_dun03,,,,
Hunter Cecil,Demi-Human,Wind,Medium,Old Blue Box,Repeating Crossbow [1],Ballista,Tights,Tights [1],Research Chart,Handcuffs,,teg_dun01,,,,
Hunter Fly,Insect,Wind,Small,Rough Wind,Steel,Solid Shell,Zargon,Rough Oridecon,Mini Propeller,Damascus [2],Monster Card,gl_prison,gl_chyard,prt_maze03,,
Hydra,Plant,Water,Small,Emveretarcon,Tentacle,Sticky Mucus,Detrimindexta,Panacea,Meat,Monster Card,,beach_dun2,beach_dun3,iz_dun00,iz_dun01,iz_dun02
Hydrolancer,Dragon,Shadow,Large,Dragon Canine,Fricca’s Circlet,Morpheus’s Hood,Morrigane’s Helm,Dragon Skin,Three-Headed Dragon’s Head,Monster Card,Immortal Stew,abyss_03,,,,
Incantation Samurai,Demi-Human,Shadow,Large,Masamune,Elunium,Assassin Mask,Yggdrasilberry,Steel,Elunium,Monster Card,,ama_dun03,,,,
Incubus,Demon,Shadow,Medium,White Herb,Mastela Fruit,Gold Ring,Diamond Ring,Ring [1],Monster Card,Incubus Horn,,gefenia01,gefenia02,gefenia03,gefenia04,
Injustice,Undead,Dark,Medium,Steel,Brigan,Cyfar,Padded Armor [1],Full Plate,Prohibition Red Candle,Jamadhar,Monster Card,gl_prison1,,,,
Isis,Demon,Dark,Large,Scales Shell,Circlet [1],Necklace,Cracked Diamond,2carat Diamond,Shining Scales,3carat Diamond,Monster Card,moc_pryd04,moc_pryd06,,,
Jakk,Formless,Fire,Medium,Jack o  Pumpkin,Zargon,Elunium,Tights [1],Necklace of Oblivion,Pumpkin,Monster Card,,gef_dun01,gef_dun02,glast_01,,
Jing Guai,Demon,Earth,Medium,Club [3],Spike,Tiger Panty,Little Ghost Doll,Monster Card,,,,lou_dun01,,,,
Joker,Demi-Human,Wind,Large,Zargon,Old Card Album,Contracts In Shadow,Yellow Herb,Katar Of Piercing Wind,Oridecon,Level 5 Soul Strike,,gl_church,gl_knt02,,,
Kaho,Demon,Fire,Medium,Flame Heart,Coal,Burning Heart,Fire Scroll LV 3,Elunium Stone,Red_Gemstone,Alchol,Monster Card,mag_dun01,,,,
Kapha,Fish,Water,Medium,Yellow Plate,Cyfar,Leaflet Of Aloe,Ment,Jitte [1],Loner’s Guitar,Humma Calm Mind [2],Monster Card,ama_fild01,,,,
Karakasa,Formless,Neutral,Medium,Oil Paper,Bamboo Cut,Wooden Block,Smooth Paper,Zargon,Glass Bead,Monster Card,,ama_fild01,,,,
Kiehl,Formless,Shadow,Medium,Old Purple Box,Dagger of Counter,Survivor’s Rod [1],Glittering Jacket [1],Morrigane’s Belt,Morrigane’s Pendant,Monster Card,Pocket Watch,kh_dun02,,,,
Khalitzburg,Undead,Undead,Large,Skel-Bone,Elunium,Bone Helm,Mirror Shield [1],Chivalry Emblem,Monster Card,,,gl_cas02,gl_knt02,,,
Killer mantis,Insect,Earth,Medium,Mantis Scythe,Solid Shell,Emerald,Loki s Nail,Mirror Shield [1],Monster Card,,,prt_maze03,,,,
Knight Seyren,Demi-Human,Fire,Medium,Old Blue Box,Claymore,Muramasa,Chain Mail,Chain Mail [1],Handcuffs,Research Chart,,teg_dun01,,,,
Abysmal Knight,Demi-Human,Dark,Large,Reins,Blade Lost In Darkness,Lord s Clothes [1],Oridecon,Broad Sword [2],Elunium,Monster Card,Battle Hook [0],gl_cas02,glast_01,gl_knt01,gl_knt02,gefenia01
Lava Golem,Formless,Fire,Large,Cold Magma,Burning Heart,Plate Armor [1],Plate Armor,White Herb,Magma Fist,Monster Card,,mag_dun01,,,,
Lady Tanee,Plant,Wind,Large,Old Purple Box,Tropical Banana,Elunium,Gakkung Bow [2],Banana Hat,Steamed Desert Scorpions,Monster Card,,ayo_dun02,,,,
Lady Solace,Angel,Holy,Medium,Garnet,Harp [1],Harp [2],Ring [1],Blue Feather,Cursed Seal,Stone of Sage,Monster Card,tha_t01,tha_t07,tha_t08,tha_t09,tha_t10
Stormy Knight,Formless,Wind,Large,Zephyrus,Old Blue Box,Old Purple Box,Ring [1],Manteau [1],Elunium,Grand Circlet,Monster Card,xmas_dun02,,,,
Kathryne Keyron,Demi-Human,Ghost,Medium,Old Blue Box,Survivor’s Rod [1],La’cryma Stick [2],Guard [1],Shoes [1],Small Ribbons,Handcuffs,Monster Card,lhz_dun03,,,,
Kavach Icarus,Demi-Human,Wind,Medium,Great Bow [3],Gakkung Bow [2],Mantle [1],Sandals [1],Shoes [1],Research Chart,Steel Arrow Quiver,Monster Card,lhz_dun02,,,,
King of the Alley,Demi-Human,Fire,Medium,Old Blue Box,Old Card Album,Old Purple Box,Hypnotist’s Staff [2],Staff of Destruction [1],Handcuffs,,,teg_dun02,,,,
Kobold,Demi-Human,Wind,Medium,Steel,Blue Hair,Zargon,Rough Elunium,Gladius [3],Buckler [1],Monster Card,,gef_fild08,gef_fild12,,,
Kobold,Demi-Human,Poison,Medium,Steel,Blue Hair,Zargon,Buckler [1],ellow Herb,Guard,Monster Card,,gef_fild08,gef_fild12,,,
Kobold,Demi-Human,Fire,Medium,Red Blood,Steel,Blue Hair,Zargon,Hammer [3],Buckler [1],Yellow Herb,Monster Card,gef_fild08,gef_fild12,,,
Kobold Archer,Demi-Human,Fire,Small,Zargon,Steel,Blue Hair,Puppy Headband,Poison Arrow,Crossbow [3],Rough Oridecon,Monster Card,cmd_fild06,cmd_fild08,gef_fild12,gef_fild12,
Kobold Leader,Demi-Human,Wind,Medium,Steel,Blue Hair,Zargon,Flail [3],Mighty Staff,Panacea,Royal Jelly,Monster Card,gef_fild12,,,,
Kraben,Formless,Ghost,Medium,Milk,Aloe Leaflet,Old Blue Box,Zargon,Guard [1],Red Chile,Straw Basket,Monster Card,ayo_dun01,ayo_dun02,,,
Kukre,Fish,Water,Small,Crystal Blue,Worm Peeling,Garlet,Monster s Feed,Red Herb,Insect Feeler,Earthworm The Dude,Monster Card,iz_dun00,iz_dun01,treasure01,treasure02,
Laurell Weinder,Demi-Human,Ghost,Medium,Memento,Staff [3],Wing Staff,Guard [1],Silk Robe [1],Silver Robe [1],Clip [1],Monster Card,lhz_dun02,,,,
Leib Olmai,Brute,Earth,Large,Bear s Footskin,Poo Poo Hat,Puppet,Honey,Pocket Watch,Gold,Cyfar,Monster Card,prt_maze02,,,,
Leaf Cat,Brute,Earth,Small,Hinalle Leaflet,Shrimp,Lemon,Yggdrasil Seed,Fish Tail,Huge Leaf,Fig Leaf,Monster Card,ayo_fild01,ayo_fild02,ayo_dun01,,
Live Peach Tree,Plant,Earth,Medium,Hard Peach,Royal Jelly,Branch Of Dead Tree,Banana Juice,Old Blue Box,Monster Card,,,gon_dun01,gon_dun02,,,
Loli Ruri,Demon,Shadow,Large,Elunium,Lunatic Brooch [1],Monster Card,Loki’s Whispers,Black Cat Doll,Black Cat Doll,Striped Sock,,niflheim,nif_fild02,,,
Lude,Undead,Undead,Small,Rough Elunium,Fabric,Halo,Monster Card,Ectoplasm,Pumpkin Lantern,Level 3 Heal,,niflheim,nif_fild02,,,
Lunatic,Brute,Neutral,Small,Clover,Feather,Clown Nose,Apple,Red Herb,Carrot,Rainbow Carrot,Monster Card,mjolnir_08,moc_fild03,pay_fild01,pay_fild02,pay_fild03
Maero of Thanatos,Undead,Ghost,Medium,Old Card Album,2carat Diamond,3carat Diamond,Goibne’s Armor,Brigan,Fragment of Misery,Monster Card,,tha_t06,tha_t10,,,
Magnolia,Demon,Water,Small,Old Frying Pan,Garlet,Scell,Zargon,Black Ladle,Yellow Herb,Monster Card,,pay_dun01,,,,
Majoruros,Brute,Fire,Large,Nose Ring,Two-Handed Axe [2],Oridecon,White Herb,Silver Ring,Star Crumb,Monster Card,,gl_dun02,,,,
Mandragora,Plant,Earth,Medium,Green Live,Stem,Spear [4],Green Herb,Shoot,Four Leaf Clover,Gaia Whip,Monster Card,pay_dun02,pay_dun03,mjolnir_01,prt_fild02,
Mantis,Insect,Earth,Medium,Green Live,Mantis Scythe,Scell,Rough Elunium,Solid Shell,Emerald,Red Herb,Monster Card,prt_maze03,mjolnir_05,mjolnir_12,,
Mao Guai,Brute,Wind,Medium,Aloevera,Level 5 Lightening Bolt,Fish Tail,Folding Fan of Cat Ghost,Cat’s Eye,Monster Card,,,lou_dun03,,,,
Margaretha Sorin,Demi-Human,Holy,Medium,Old Blue Box,Hardcover Book [1],Rod [4],Croce Staff [1],Holy Robe,Muffler [1],Research Chart,Monster Card,lhz_dun03,,,,
Marc,Fish,Water,Medium,Mystic Frozen,Gill,Rough Oridecon,Fin,Aquamarine,Blue Gemstone,White Herb,Monster Card,iz_dun03,iz_dun04,,,
Marduk,Demi-Human,Fire,Large,Flame Heart,Cultish Masque,Staff [3],Celebrant s Mitten [0],Wand of Occult [0],Level 5 Fire Bolt,Book of the Devil,Monster Card,in_sphinx3,in_sphinx4,in_sphinx5,,
Marin,Plant,Water,Medium,Garlet,Sticky Mucus,Level 1 Frost Diver,Aquamarine,Blue Herb,Candy,Poring Hat [0],Monster Card,xmas_dun01,xmas_fild01,sec_in02,,
Marina,Plant,Water,Small,Single Cell,Sticky Mucus,Crystal Blue,Mystic Frozen,Blue Gemstone,Deadly Noxious Herb,Monster Card,,iz_dun00,iz_dun01,,,
Marine Sphere,Plant,Water,Small,Tendon,Detonator,Chain [3],Aquamarine,Blue Gemstone,Transparent Head Protector,Monster Card,,iz_dun03,iz_dun04,,,
Marionette,Demon,Ghost,Small,Golden Hair,Star Dust,Brooch [0],Level 5 Fire Wall,Chain [3],Crystal Pumps,Marionette Doll [1],Monster Card,gef_dun02,gl_in01,treasure02,,
Marse,Fish,Water,Small,Squid Ink,Tentacle,Blue Gemstone,Aquamarine,Mystic Frozen,Necklace of Wisdom,Grape,Monster Card,iz_dun02,iz_dun03,iz_dun04,,
Martin,Brute,Earth,Small,Mole Whiskers,Mole Claw,Jur,Goggles [1],Safety Helmet,Battered Pot,Goggle,Monster Card,mjo_dun01,mjo_dun02,mjo_dun03,gef_fild00,
Mastering,Plant,Water,Medium,Snowy Horn,Unripe Apple,Pearl,Angelic Guard [1],Apple,Apple Juice,Monster Card,,prt_maze03,xmas_dun01,mjolnir_10,pay_fild04,yuno_fild04
Matyr,Brute,Dark,Medium,Matyr s Leash,Monster s Feed,Animal Skin,Pet Food,Rough Elunium,Grape,Monster Card,,in_sphinx2,in_sphinx3,in_sphinx4,in_sphinx5,moc_pryd04
Maya,Insect,Earth,Large,Queen s Hair Ornament,Safety Ring,Tiara,Armlet Of Obedience,Mother s Nightmare,Elunium,Monster Card,Dea Staff [1],anthell02,,,,
Medusa,Demon,Neutral,Medium,Horrendous Hair,Animal Gore,Pearl,Turtle Shell,Necklace of Wisdom,Red Flame Whip,Sea Witch’s Foot [1],Monster Card,beach_dun,,,,
Megalith,Formless,Neutral,Large,Zargon,Stone,Old Purple Box,Elunium,Rough Elunium,Monster Card,,,beach_dun,beach_dun2,,,
Megalodon,Undead,Undead,Medium,Stinky Scale,Skel-Bone,Blue Herb,Blue Gemstone,Amethyst,Old Blue Box,Rotten Fish,Monster Card,beach_dun3,,,,
Memory of Thanatos,Undead,Undead,Large,Legion Plate Armor [1],Greaves [1],Eagle Wing [1],Morrigane’s Manteau,Bloodied Shackle Ball,Treasure Box,Skeletal Armor Piece,Monster Card,thana_boss,,,,
Merman,Demi-Human,Water,Medium,Ancient Lips,Full Plate [1],Lemon,Aquamarine,Mystic Frozen,Trident [2],Rough Oridecon,Monster Card,beach_dun,iz_dun02,iz_dun03,iz_dun04,
Metaller,Insect,Fire,Medium,Red Blood,Grasshopper’s Leg,Scell,Rough Elunium,Singing Plant,Shell,Burning Passion Guitar,Monster Card,mjolnir_12,moc_fild08,moc_fild14,moc_fild16,moc_fild17
Metaling,Formless,Neutral,Small,Iron,Iron Ore,Large Jellopy,Jubilee,Rusty Screw,Flexible Tube,Monster Card,,ein_fild03,ein_fild04,ein_fild07,ein_fild08,ein_fild09
Mineral,Formless,Neutral,Small,Emperium,Yellow Gemstone,Topaz,Gold,Oridecon,Emveretarcon,Crystal Fragment,Monster Card,ein_dun02,ein_fild04,ein_fild05,,
Mini Demon,Demon,Shadow,Small,Rough Elunium,Zargon,Hand of God,Little Evil Horn,Little Evil Wing,Ahlspiess,Evil Wing,Monster Card,gefenia01,gefenia02,gefenia03,gefenia04,gld_dun04
Minorous,Brute,Fire,Large,Nose Ring,Rough Oridecon,Two-Handed Axe [2],Hammer Of Blacksmith,Axe [3],Lemon,Monster Card,,moc_pryd05,,,,
Mistress of Shelter,Angel,Holy,Medium,Pearl,Skull,Red Feather,Cursed Seal,Cursed Seal,Stone of Sage,Monster Card,,tha_t03,tha_t07,tha_t08,tha_t09,tha_t10
Mistress,Insect,Wind,Small,Gungnir,Honey,Coronet,Old Card Album,Young Twig,Elunium,Monster Card,Red Square Bag [2],mjolnir_05,,,,
Miyabi Ningyo,Demon,Shadow,Medium,Glossy Hair,Old Japaness Clothes,White Herb,Star Crumb,Mandolin,Professional kit,Hakujin,Monster Card,ama_fild01,ama_dun01,ama_dun02,ama_dun03,
Mi Gao,Formless,Earth,Medium,Dry Sand,Mud Lump,Great Nature,Gold,Monster Card,,,,lou_dun01,lou_fild01,,,
Mobster,Demi-Human,Neutral,Medium,Poison Knife,Sapphire,Ring [1],Melon,Zargon,Panacea,Monster Card,,cmd_fild02,,,,
Monk Errende,Demi-Human,Holy,Medium,Old Blue Box,law [1],Kaiser Knuckle,Saint’s Robe [1],Holy Robe [1],Handcuffs,Research Chart,,teg_dun02,,,,
Moonlight Flower,Demon,Fire,Medium,Spectral Spear [0],Moonlight Dagger [0],Long Mace [0],Punisher,Silver Knife of Chastity,Elunium,Monster Card,Staff Of Bordeaux [0],pay_dun04,,,,
Muka,Plant,Earth,Large,Green Live,Cactus Needle,Empty Bottle,Green Herb,Red Herb,Guisarme [2],Iron Ore,Monster Card,moc_fild06,moc_fild09,moc_fild16,moc_fild18,prt_fild09
Mummy,Undead,Undead,Medium,Rotten Bandage,Rough Oridecon,Memento,Glove,Silver Ring,Panacea,Yellow Herb,Monster Card,moc_pryd03,moc_pryd04,moc_pryd05,moc_pryd06,
Munak,Undead,Undead,Medium,Daenggie,Munak Hat [0],Shoes [1],Amulet,Ninja Suit [0],Adventurer s Suit [0],Girl s Diary [1],Monster Card,pay_dun02,pay_dun03,,,
Mutant dragon,Dragon,Fire,Large,Brigan,Dragon Canine,Dragon Scale,Rotten Bandage,Legacy of Dragon [0],Pyroxene,Monster Card,Dragon Breath [1],cmd_fild03,,,,
Myst,Formless,Poison,Large,Gas Mask [0],Trunk,Wig,Rough Oridecon,Rough Elunium,Anodyne,Ring [0],Monster Card,glast_01,mjo_dun03,,,
Myst Case,Formless,Neutral,Medium,Candy Cane,Old Blue Box,Piece Of Cake,Pearl,2carat Diamond,Candy,Monster Card,,xmas_dun01,xmas_dun02,,,
Mysteltainn,Formless,Dark,Large,Loki s Whispers,Biotite,Slayer [3],Bastard Sword [3],Claymore [0],Oridecon,Monster Card,,gl_cas02,gefenia01,gefenia02,gefenia03,gefenia04
Neraid,Brute,Earth,Small,Earthworm Peeling,Cyfar,Blue Herb,Grape,Rough Elunium,Elunium,Icicle Whip,Monster Card,beach_dun,beach_dun2,beach_dun3,,
Nightmare,Demon,Ghost,Large,Horseshoe,Blue Herb,Rosary [0],Old Blue Box,Blue Potion,Infiltrator [0],Oridecon,Monster Card,gef_dun02,gl_cas02,gl_church,,
Nightmare Terror,Demon,Shadow,Large,Burning Horse Shoe,Blue Herb,Rosary [0],Rosary,Blue Potion,Infiltrator [0],Ghost Scroll LV 5,Monster Card,mag_dun02,,,,
Nine tail,Brute,Fire,Medium,Nine Tails,Glass Bead,Old Blue Box,Dead Branch,Royal Jelly,Panacea,Rough Oridecon,Monster Card,pay_dun03,pay_dun04,,,
Noxious,Formless,Ghost,Medium,Old Blue Box,Anodyne,Mould Powder,Dust Pollutant,Toxic Gas,Monster Card,,,ein_dun01,,,,
Novus,Dragon,Neutral,Small,Green Herb,Dragon Scale,Cyfar,Monster Card,,,,,abyss_01,abyss_02,hu_fild02,hu_fild03,hu_fild04
Novus,Dragon,Neutral,Small,Yellow Herb,Dragon Scale,Cyfar,Monster Card,,,,,abyss_01,abyss_02,hu_fild02,hu_fild03,hu_fild04
Obeaune,Fish,Water,Medium,Mystic Frozen,Heart Of Mermaid,Fin Helm,Saint s Robe [1],Aquamarine,Fin,Witherless Rose,Monster Card,iz_dun02,,,,
Obsidian,Formless,Earth,Small,1carat Diamond,Elunium,Steel,Coal,Unholy Touch,Dark Crystal Fragment,Monster Card,,ein_dun02,ein_fild05,,,
Odium of Thanatos,Undead,Ghost,Large,Old Card Album,2carat Diamond,3carat Diamond,Goibne’s Spaulders,Brigan,Fragment of Hatred,Monster Card,,tha_t08,,,,
Ogretooth,Formless,Shadow,Medium,Silver Knife of Chastity,Oridecon,Steel,Dagger [3],Stiletto [3],Monster Card,Old Hilt,Muscovite,gefenia01,gefenia02,gefenia03,gefenia04,
Old Stove,Formless,Neutral,Large,Dead Branch,Rusty Iron,Iron Ore,Burnt Tree,Used Iron Plate,Battered Kettle,Monster Card,,ein_dun01,ein_dun02,,,
Orc Archer,Demi-Human,Earth,Medium,Fang,Steel Arrow,Stone Arrow,Arrow Of Wind,Red Herb,White Herb,Monster Card,,alde_dun02,orcsdun02,gef_fild14,,
Orc Baby,Demi-Human,Earth,Small,Large Jellopy,Pacifier,Orc Helm [0],Milk,Nursing Bottle,Pinafore,Monster Card,,gef_fild10,,,,
Orc Lady,Demi-Human,Earth,Medium,Cyfar,Earring [0],Wedding Veil [0],Professional Cooking Kit,Wedding Dress [0],Monster Card,,,gef_fild10,gef_fild14,,,
Orc Lord,Demi-Human,Earth,Large,Bloody Axe [0],Ring [1],Grand Circlet [0],Doom Slayer [1],Old Purple Box,Elunium,Monster Card,Erde [2],gef_fild10,,,,
Orc Skeleton,Undead,Undead,Medium,Orc s Fang,Skel-Bone,Rough Elunium,Orc Helm [0],Buster [2],Green Herb,Monster Card,,orcsdun01,orcsdun02,,,
Orc Zombie,Undead,Undead,Medium,Orc Claw,Sticky Mucus,Emperium,Monster Card,,,,,orcsdun01,,,,
Orc Hero,Demi-Human,Earth,Large,Heroic Emblem,Monkey Circlet,Light Epsilon [0],Shield [1],Orcish Sword,Elunium,Monster Card,Giant Axe [1],gef_fild14,,,,
Orc Warrior,Demi-Human,Earth,Medium,Iron,Orcish Axe [0],Rough Oridecon,Cigarette [0],Battle Axe [4],Orcish Axe,Monster Card,,gef_fild10,gef_fild14,,,
Osiris,Undead,Undead,Medium,Old Purple Box,Assassin Dagger [0],Crown [0],Jamadhar [1],Hand of God,Sphinx Hat [0],Monster Card,Cakram [2],moc_pryd04,,,,
Owl Duke,Demon,Neutral,Large,Tattered Clothes,Soft Feather,Level 5 Lightening Bolt,Crystal Mirror,Guisarme [2],Magician Hat [0],Monster Card,,c_tower4,gl_cas01,gl_in01,,
Pasana,Demi-Human,Fire,Medium,Rough Elunium,Falchion [4],Stiletto [3],Undershirt,Monster Card,Broken Sword,Honey Pot,,in_sphinx3,in_sphinx4,in_sphinx5,,
Parasite,Plant,Wind,Medium,Shoot,Rante Whip [1],Blade Whip,Monster Card,Thin Trunk,Sprout,Soft Blade of Grass,Huge Leaf,um_fild03,,,,
Pecopeco,Brute,Fire,Large,Bill Of Birds,Sandals [1],Yellow Herb,Red Herb,Wand [2],Orange,Monster Card,,moc_fild01,moc_fild04,moc_fild10,moc_fild13,
Pecopeco Egg,Formless,Neutral,Small,Phracon,Shell,Guard [1],Red Herb,Red Herb,Empty Bottle,China,Monster Card,moc_fild01,moc_fild02,moc_fild04,moc_fild05,moc_fild06
Penomena,Fish,Poison,Medium,Coral Reef,Tentacle,Sticky Mucus,Panacea,Amethyst,Katar of Raging Blaze [0],Red Gemstone,Monster Card,alde_dun03,iz_dun04,treasure02,,
Permeter,Brute,Neutral,Medium,Turtle Shell,Red Herb,Zargon,Fruit Of Mastela,Anodyne,Monster Card,,,tur_dun01,tur_dun02,tur_dun03,tur_dun04,tur_dun05
Pest,Brute,Dark,Small,Earthworm Peeling,Brigan,Animal Gore,Anodyne,Red Gemstone,Rough Oridecon,Monster Card,,beach_dun,beach_dun3,cmd_fild03,cmd_fild05,tur_dun01
Petite,Dragon,Earth,Medium,Dragon Canine,Dragon Tail,Rough Oridecon,White Herb,Flail [2],Aloevera,Monster Card,,gef_fild06,mjolnir_12,,,
Petite,Dragon,Wind,Medium,Dragon Scale,Dragon Tail,Elunium,White Herb,Zargon,Aloevera,Monster Card,,gef_fild06,,,,
Pharaoh,Demi-Human,Shadow,Large,Solar Sword,Bazerald,Tablet [1],Holy Robe,Jewel Crown,Broken Pharaoh Emblem,Masque of Tutankhamen,Monster Card,in_sphinx5,,,,
Phen,Fish,Water,Medium,Fish Tail,Sharp Scale,Aquamarine,Meat,Fin,Rough Oridecon,Monster Card,,iz_dun03,,,,
Phreeoni,Brute,Neutral,Large,Tongue,Fortune Sword [0],Sucsamad [0],Ant Jaw,Mr. Scream [0],Elunium,Monster Card,Weihna [2],moc_fild15,,,,
Picky,Brute,Fire,Small,Feather Of Birds,Feather,Cotton Shirt [1],Red Herb,Milk,Yellow Gemstone,Monster Card,,moc_fild01,moc_fild02,moc_fild04,moc_fild05,moc_fild06
Picky,Brute,Fire,Small,Feather Of Birds,Feather,Egg Shell [0],Red Herb,Milk,Yellow Gemstone,Tiny Egg Shell,Monster Card,moc_fild01,moc_fild02,moc_fild04,moc_fild05,moc_fild06
Piere,Insect,Earth,Small,Worm Peeling,Garlet,Sticky Mucus,Wind Of Verdure,Venom Canine,Iron Ore,Rough Elunium,Monster Card,anthell01,anthell02,mjolnir_11,moc_fild11,moc_fild15
Pirate Skeleton,Undead,Undead,Medium,Skel-Bone,Pirate Bandana [0],Bandana,Falchion [3],Rough Oridecon,Well-Dried Bone,Monster Card,,treasure01,treasure02,,,
Plasma Blue,Formless,Water,Small,Gift Box,Blue Gemstone,2carat Diamond,Scell,Crystal Blue,Monster Card,,,hu_fild01,odin_tem01,tha_t02,tha_t05,tha_t06
Plasma Green,Formless,Earth,Small,Gift Box,Blue Gemstone,2carat Diamond,Scell,Green Live,Monster Card,,,hu_fild01,odin_tem01,tha_t01,tha_t05,tha_t06
Plasma Purple,Formless,Shadow,Small,Gift Box,Red Gemstone,2carat Diamond,Scell,Cursed Ruby,Monster Card,,,hu_fild01,odin_tem01,tha_t03,tha_t05,tha_t06
Plasma Red,Formless,Fire,Small,Gift Box,Red Gemstone,2carat Diamond,Scell,Red Blood,Monster Card,,,hu_fild01,odin_tem01,tha_t04,tha_t05,tha_t06
Plasma Yellow,Formless,Ghost,Small,Gift Box,Yellow Gemstone,2carat Diamond,Scell,Gold,Monster Card,,,hu_fild01,odin_tem01,odin_tem02,odin_tem03,tha_t12
Plankton,Plant,Water,Small,Single Cell,Garlet,Sticky Mucus,Alcohol,Empty Bottle,Dew Laden Moss,Concentration Potion,Monster Card,iz_dun00,iz_dun01,prt_sewb2,,
Poison Spore,Plant,Poison,Medium,Poison Spore,Hat [1],Green Herb,Blue Herb,Karvodailnirol,Mushroom Spore,Zargon,Monster Card,gef_dun00,gef_dun01,glast_01,treasure01,cmd_fild01
Poison Toad,Brute,Poison,Medium,Poison Toad s Skin,Poison Powder,Gold Ring,Green Herb,Monster Card,Royal Jelly,Cinquedea,Monster Card,ama_fild01,ama_dun02,,,
Poporing,Plant,Poison,Medium,Sticky Mucus,Garlet,Green Herb,Grape,Apple,Main Gauche [3],Apple,Monster Card,gef_dun00,moc_pryd01,moc_pryd02,pay_dun00,prt_maze02
Porcellio,Insect,Earth,Small,Dew Laden Moss,Insect Feeler,Single Cell,Main Gauche [4],Jubilee,Fluorescent Liquid,Monster Card,,ein_dun01,ein_fild08,ein_fild09,ein_fild10,
Poring,Plant,Water,Medium,Jellopy,Knife [4],Sticky Mucus,Apple,Empty Bottle,Apple,Unripe Apple,Monster Card,xmas_dun01,gef_fild00,gef_fild01,gef_fild04,gef_fild05
Priest Margaretha,Demi-Human,Holy,Medium,Old Blue Box,Stunner,Slash,Saint’s Robe [1],Holy Robe [1],Handcuffs,Research Chart,,teg_dun01,,,,
Quve,Undead,Undead,Small,Fly Wing,Rough Oridecon,Monster Card,Poisonous Powder,Piece of Black Cloth,Ectoplasm,,,niflheim,nif_fild01,,,
Rice Cake Boy,Demi-Human,Neutral,Small,Bamboo Cut,Oil Paper,Pierrot Nose,Blade Of Pinwheel,Bun,Festival Mask,Monster Card,,gon_fild01,,,,
Rogue Wickebine,Demi-Human,Poison,Medium,Old Blue Box,Bazerald,Poison Knife,Thief Clothes,Thief Clothes [1],Handcuffs,Research Chart,,teg_dun02,,,,
Santa Poring,Plant,Holy,Medium,Candy,Candy Cane,Red Herb,RG Red Potion,Red Slim Potion,Santa Hat [0],Snow Flowers,Monster Card,xmas_fild01,,,,
Shinobi,Demi-Human,Shadow,Medium,Broken Shuriken,Ninja Suit,Cyfar,Shinobi s Sash,Thief Clothes,Black Mask,Monster Card,,ama_dun01,ama_dun02,ama_dun03,,
Pitman,Undead,Earth,Large,Iron,Steel,Coal,Lantern,Old Pick,Used Iron Plate,Flashlight,Monster Card,ein_dun01,,,,
Punk,Plant,Wind,Small,Mould Powder,Yellow Gemstone,Pacifier,Witched Starsand,Moth Dust,Fly Wing,Hood [1],Monster Card,c_tower1,c_tower2,,,
Pupa,Insect,Earth,Small,Phracon,Chrysalis,Sticky Mucus,Guard [1],Shell,Sticky Mucus,Iron Ore,Monster Card,gef_fild00,gef_fild04,gef_fild05,gef_fild07,mjolnir_02
